Libya,. .,. .,. .,. .,. .,. .,. .,. .,. .,244.6,277.8,218.6,202.6,150.6,81.8,96.3,120.0,119.2,104.4,107.0,181.6,. .,. .,. .,475.3,627.3,590.3,. .,. .,. .,. .,. .,. .
Ethiopia,13.7,16.9,16.4,10.7,5.0,3.1,2.7,2.1,2.1,3.7,7.3,10.9,9.3,5.1,4.1,3.9,4.2,4.5,4.4,4.5,4.7,4.0,3.5,3.7,4.0,3.6,4.2,4.4,4.7,4.7,4.7,4.9,4.0
Nigeria,3.0,1.8,2.9,2.5,1.7,2.8,3.0,5.9,6.3,7.2,9.9,4.1,3.0,4.6,7.0,4.5,4.7,4.9,5.4,6.6,10.8,9.7,12.6,14.6,13.9,14.1,13.4,11.4,9.3,8.5,10.4,9.3,12.5
South Africa,121.5,116.4,118.6,102.7,95.1,82.1,85.8,79.5,61.4,56.2,43.6,39.2,42.1,39.5,38.3,55.1,65.5,74.5,72.3,71.8,66.0,71.2,81.8,88.3,85.0,76.7,71.4,63.0,55.9,63.0,62.7,58.7,53.1
Sudan,19.6,. .,58.5,65.4,8.5,11.5,9.7,5.8,4.3,3.8,10.0,16.1,21.5,13.9,16.9,13.5,41.1,37.6,52.0,75.0,97.6,94.1,. .,. .,. .,. .,. .,58.6,69.0,107.4,25.1,16.9,21.3
Uganda,8.7,8.3,6.2,4.1,2.8,3.3,5.3,6.2,6.4,6.4,6.9,7.0,6.0,5.6,5.6,5.9,7.3,7.8,7.6,8.6,10.2,9.3,18.8,18.1,10.2,8.4,8.8,8.0,8.0,8.4,9.6,14.6,21.5
Zimbabwe,41.3,40.2,39.9,35.2,27.2,22.5,22.0,23.0,25.3,26.7,26.0,22.3,29.1,24.0,56.6,16.3,21.3,10.9,13.3,. .,. .,. .,7.7,15.4,24.3,26.7,27.1,27.3,25.5,23.9,29.1,37.3,. .
Cuba,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,26.4,5.5,7.0,6.8,7.4,7.9,8.2,8.4,8.3,11.3,10.6,11.1,10.5,10.9,10.8,11.3,. .,. .
Mexico,12.2,14.0,14.4,17.1,21.0,24.0,29.2,17.0,20.2,23.1,23.6,27.2,30.7,32.2,31.2,28.7,27.3,29.5,28.2,38.7,39.1,40.1,42.0,47.5,48.7,54.5,56.2,44.9,43.3,40.6,46.3,52.1,47.4
Canada,369.2,395.4,414.5,406.6,382.3,359.7,331.8,314.7,292.5,267.1,258.1,271.0,271.3,271.2,272.5,316.3,356.3,403.8,455.2,528.9,580.2,561.1,565.7,619.4,585.7,524.6,500.6,497.9,488.8,606.3,613.1,593.5,602.9
USA,1251.8,1288.9,1289.6,1176.1,1264.8,1220.3,1174.8,1115.7,1073.1,1079.0,1057.5,1070.2,1136.2,1165.8,1317.4,1520.0,1686.3,1807.5,1875.1,1961.3,2164.0,2304.6,2388.3,2414.4,2309.2,2146.7,2032.8,1975.3,1980.9,1989.5,2086.5,2231.6,2351.1
Argentina,85.1,44.8,62.9,86.4,97.1,99.2,109.1,109.2,95.9,93.7,94.2,94.9,88.6,85.4,29.6,36.1,38.1,43.7,47.0,57.9,69.6,73.7,85.0,98.1,109.3,121.8,116.8,127.3,103.6,124.3,86.6,70.0,64.3
Chile,77.8,75.7,77.7,76.9,85.2,92.6,103.5,127.1,130.5,143.4,141.0,134.7,137.1,122.0,113.5,130.5,167.8,191.6,235.7,243.3,277.8,231.1,286.8,330.0,314.1,314.7,287.3,257.7,263.4,290.7,296.1,273.4,240.7
Venezuela,58.6,62.4,37.6,49.0,48.3,61.3,43.8,54.7,32.8,67.5,62.3,59.3,73.9,77.6,42.7,38.7,55.7,100.8,135.2,159.7,204.8,144.7,140.3,123.8,174.2,208.2,51.8,10.7,7.3,72.4,. .,. .,. .
China,. .,9.7,8.4,8.2,10.1,10.1,8.0,10.0,11.4,12.4,13.4,16.0,17.2,20.4,23.2,25.2,28.6,32.2,38.4,46.2,58.2,71.0,77.1,91.0,104.8,117.9,130.1,139.7,140.4,148.1,162.9,167.6,175.3
Japan,228.3,225.4,231.3,262.4,287.2,329.0,359.3,395.4,347.8,320.2,297.7,338.7,356.9,319.1,307.6,331.8,353.7,345.2,323.6,315.4,360.7,400.3,425.2,472.9,467.3,382.1,366.0,329.0,363.7,356.0,366.5,375.3,388.6
"Korea, North",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
"Korea, South",183.7,222.8,235.6,252.6,264.9,279.2,301.6,355.1,358.7,321.4,224.3,257.3,291.3,271.3,293.8,328.4,367.7,455.0,515.1,565.4,530.1,498.0,568.7,622.5,638.3,681.5,742.0,719.6,723.5,766.6,841.7,856.8,892.1
Taiwan,354.8,401.8,424.9,449.9,482.6,553.7,563.6,537.1,547.5,524.1,425.0,438.2,400.6,361.0,338.3,333.3,347.1,352.8,335.0,355.8,389.3,394.8,392.1,429.7,449.6,425.4,417.3,416.1,409.2,442.7,442.7,462.4,510.3
Afghanistan,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,5.1,4.8,5.0,8.1,8.7,8.9,10.2,10.8,7.7,6.7,8.0,5.8,5.3,5.3,5.3,5.9,7.2
India,13.5,12.4,12.1,9.7,8.9,8.9,9.4,10.1,10.1,11.5,11.7,13.4,13.5,13.6,13.5,14.7,17.9,20.1,20.6,23.9,27.5,31.8,37.3,39.7,37.3,37.0,39.3,39.2,42.8,48.2,49.0,52.3,52.8
Nepal,2.0,2.0,2.0,1.8,1.9,1.8,1.9,1.8,1.8,1.9,1.8,2.0,2.1,2.7,3.5,4.1,5.1,6.2,6.0,6.4,7.0,7.8,9.4,10.5,9.5,10.4,12.2,12.0,13.1,15.8,15.3,15.0,14.6
Pakistan,26.8,24.7,26.1,27.7,29.7,28.3,27.6,29.6,27.9,25.3,23.9,22.2,20.9,19.5,21.9,24.3,26.4,28.6,30.3,31.8,30.4,30.1,33.3,37.9,39.9,40.0,44.3,47.6,49.0,55.1,55.3,48.0,47.0
Malaysia,50.3,58.1,62.4,84.9,93.0,98.7,106.1,119.3,115.2,96.9,52.4,73.4,66.1,81.6,92.4,116.7,112.1,121.5,124.7,148.6,162.0,143.0,136.6,163.8,155.1,166.8,164.7,149.7,135.9,112.4,109.3,118.0,117.6
Myanmar,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,128.8,150.5,193.3,200.4,230.6,502.4,614.7,673.2,. .,. .,. .,. .,. .,. .,57.8,45.6,45.4,48.4,46.3,41.6,28.5,27.7,45.0
Philippines,15.8,15.8,15.4,14.4,16.6,17.6,20.4,24.4,26.3,21.6,16.4,17.6,16.7,14.1,14.7,15.7,14.7,15.9,18.3,22.5,25.0,22.9,25.9,28.3,29.8,34.2,30.9,32.7,32.1,38.9,26.7,32.1,34.1
Singapore,419.7,480.2,598.0,652.3,728.9,750.6,818.9,1041.6,1127.0,1187.9,1156.8,1136.1,1074.9,1056.9,1103.2,1144.0,1207.4,1280.9,1324.4,1423.7,1560.9,1517.7,1580.3,1695.1,1708.2,1713.6,1736.7,1678.0,1746.4,1783.2,1837.9,1837.0,1855.5
Thailand,33.0,34.8,39.1,45.4,51.2,54.1,61.3,64.7,65.5,53.7,34.3,33.0,29.9,27.1,28.3,29.3,28.7,30.3,37.1,53.2,67.1,71.8,73.9,81.7,81.0,86.6,83.7,83.3,85.2,91.3,99.0,104.6,105.2
Viet Nam,20.1,6.9,7.5,6.2,4.7,4.1,5.9,. .,. .,. .,. .,. .,. .,. .,. .,10.2,11.0,12.2,15.2,20.9,24.8,27.6,30.4,30.2,37.4,41.1,46.4,49.2,53.6,53.6,57.6,. .,. .
Australia,354.7,376.9,395.3,408.6,395.5,382.5,419.1,426.0,451.0,431.7,382.4,413.6,383.0,366.9,409.6,505.8,603.4,656.0,693.7,821.7,873.5,871.7,1048.0,1180.1,1144.6,1067.5,1092.7,1004.8,1087.4,1126.4,1078.0,1034.8,1079.9
New Zealand,288.6,285.5,311.3,287.0,248.5,243.2,270.3,312.0,333.1,314.7,256.2,254.1,222.4,203.9,218.5,281.7,315.0,336.1,349.7,404.9,388.3,375.4,441.8,470.8,468.8,472.3,497.9,421.2,449.3,495.1,532.3,611.9,624.5
Albania,. .,. .,. .,. .,9.7,12.3,15.8,16.4,14.8,9.6,10.8,13.7,14.5,17.0,18.8,24.4,32.5,35.7,46.0,64.2,85.1,61.5,63.1,67.3,62.9,62.0,61.5,45.8,45.3,50.1,61.0,68.5,77.2
Bosnia-Herzegovina,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,64.1,53.8,53.2,46.0,47.4,51.8,62.1,64.9,59.3,57.9,54.7,55.8,54.7,47.3,46.6,46.6,51.8,50.1,51.1
Bulgaria,. .,232.8,89.9,26.5,29.5,33.0,28.6,37.1,25.8,29.8,39.4,44.3,43.9,51.2,58.0,72.9,80.2,86.9,93.8,130.7,154.4,121.1,112.1,102.7,98.5,111.3,103.2,87.9,93.8,101.4,136.3,308.4,179.5
Croatia,xxx,xxx,xxx,xxx,165.2,248.8,348.9,446.3,423.8,396.5,317.7,232.5,149.0,142.8,166.9,161.6,166.7,182.5,194.3,224.4,297.7,260.1,234.7,256.5,222.4,223.8,249.9,208.6,198.8,220.1,232.5,242.6,252.1
Czechia,xxx,xxx,xxx,xxx,xxx,78.7,90.6,102.9,108.6,95.6,113.0,117.0,112.5,115.1,145.8,184.2,199.4,237.8,237.9,261.4,280.0,259.2,237.1,234.2,209.9,203.0,191.0,167.9,184.1,195.3,254.1,272.3,303.7
Czechoslovakia,. .,. .,149,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,xxx,xxx,xxx,xxx,. .,8.8,17.3,25.4,29.2,37.6,42.6,52.6,56.0,67.4,88.3,124.9,150.3,150.9,175.1,276.7,320.6,264.5,249.4,293.2,330.2,363.4,389.1,352.4,378.0,407.3,464.8,480.5,528.5
German DR,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,98.5,78.1,81.7,69.7,78.4,71.0,73.1,59.2,56.6,67.5,60.2,68.6,70.0,82.9,106.1,138.2,151.5,158.2,140.2,177.2,186.9,148.2,136.1,148.8,134.0,130.2,123.4,115.8,132.1,150.4,184.6,211.8,249.4
Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.5,15.5,21.7,28.5,24.0,26.7,29.4,30.0,29.2,32.0,35.2,36.6,42.2
Latvia,xxx,xxx,xxx,xxx,. .,6.9,13.3,17.4,15.4,15.5,17.4,23.5,29.4,36.9,63.1,82.0,100.6,121.0,165.3,219.1,267.9,169.6,122.6,141.8,123.6,138.7,146.3,141.5,204.9,247.3,367.8,362.9,401.3
Lithuania,xxx,xxx,xxx,xxx,. .,5.7,5.8,8.4,11.7,21.1,38.9,30.2,40.1,48.0,52.7,61.7,80.1,90.8,106.4,135.6,168.5,127.8,104.5,111.8,107.9,117.9,143.7,160.7,219.9,285.4,377.1,396.4,430.0
Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,98.7,100.9,103.6,137.0,123.1,120.3,126.9,108.2,103.5,107.8,90.7,98.4,104.7,125.7,123.7,162.5
North Macedonia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,65.7,41.6,39.3,32.7,34.3,110.8,51.9,56.4,65.8,61.6,61.1,78.7,83.5,76.7,62.8,63.9,57.6,60.9,59.8,48.1,49.8,48.4,57.4,70.1,75.8
Poland,47.3,39.5,40.6,45.2,49.3,55.4,58.7,70.7,80.1,82.8,90.5,83.7,81.6,94.2,98.1,108.0,124.4,153.7,172.6,223.9,243.7,206.1,229.3,247.0,235.1,243.1,271.6,268.5,241.2,260.1,317.5,311.1,344.2
Romania,107.9,109.6,74.0,58.7,35.6,31.1,40.5,42.8,38.3,47.5,55.8,42.8,42.3,44.8,48.3,57.6,70.9,92.3,106.0,124.0,144.0,107.8,101.9,117.0,104.0,121.8,134.3,129.5,133.6,184.3,223.5,238.2,297.7
Serbia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,93.4,66.3,77.0,35.5,52.5,72.6,78.6,80.0,68.5,77.1,106.8,122.7,108.0,97.0,110.1,95.5,103.1,102.6,81.6,80.2,90.8,92.9,130.4,128.3
Slovakia,xxx,xxx,xxx,xxx,xxx,49.9,55.9,117.1,119.1,92.7,73.7,60.6,63.4,73.0,81.5,115.7,131.7,152.5,168.8,211.0,261.5,250.0,210.5,196.9,188.4,178.5,183.8,181.4,184.3,192.6,237.7,330.3,336.6
Slovenia,xxx,xxx,xxx,xxx,140.3,115.1,119.3,168.1,165.9,146.3,151.5,138.3,111.9,136.6,164.5,209.7,247.8,257.7,304.0,344.2,410.0,392.8,377.9,324.5,264.1,245.6,235.2,193.5,216.6,228.2,254.8,275.6,276.5
Yugoslavia,. .,. .,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Armenia,xxx,xxx,xxx,xxx,. .,2.9,. .,16.2,16.5,20.4,21.5,22.1,22.2,21.7,21.1,25.4,32.7,47.2,63.6,95.5,136.2,124.5,137.3,135.9,131.9,153.4,157.2,152.9,146.9,150.6,173.9,220.4,213.9
Azerbaijan,xxx,xxx,xxx,xxx,1.5,10.2,5.7,8.5,9.1,11.6,13.4,14.9,14.7,16.1,16.9,21.1,27.0,35.7,83.1,108.5,182.3,165.0,163.5,336.8,350.4,358.8,360.5,301.4,143.5,155.3,168.1,184.5,220.7
Belarus,xxx,xxx,xxx,xxx,. .,. .,. .,17.8,18.2,24.9,22.8,16.7,14.2,18.1,21.0,23.9,32.7,47.3,66.4,78.8,93.4,71.6,81.5,80.3,85.7,101.9,106.0,75.2,62.7,66.2,75.1,81.9,89.4
Georgia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,14.0,9.3,9.0,5.8,4.3,5.5,8.0,10.1,16.7,50.8,96.5,223.6,263.2,146.5,110.8,114.9,121.1,109.1,103.0,74.4,78.5,80.1,83.4,77.7,73.2
Moldova,xxx,xxx,xxx,xxx,. .,. .,. .,3.1,3.6,4.1,2.5,1.4,1.2,1.4,1.7,2.0,2.3,2.9,4.0,5.5,9.0,6.1,4.5,5.6,5.9,6.6,6.8,5.7,6.7,7.6,9.2,10.6,11.0
Russia,867.4,766.7,763.1,. .,. .,52.3,91.3,86.0,106.9,119.0,54.0,44.0,63.0,80.1,96.0,117.4,145.4,190.3,240.7,303.9,392.2,359.5,409.3,488.8,565.8,612.2,585.5,458.1,476.6,459.8,422.8,447.0,422.9
Ukraine,xxx,xxx,xxx,xxx,. .,2.4,13.4,15.3,20.0,28.9,18.3,12.6,14.3,15.3,18.2,23.2,28.0,36.1,45.1,62.2,73.3,50.5,56.5,54.9,62.4,63.9,66.4,65.9,65.8,73.0,94.2,123.2,135.5
Austria,223.8,211.2,255.4,256.5,273.3,268.0,280.3,320.1,306.6,269.5,268.6,263.9,238.6,220.9,231.3,291.3,326.1,325.5,318.7,421.0,449.2,398.3,382.7,403.4,374.9,377.4,383.6,307.1,329.9,357.5,381.0,361.6,399.9
Belgium,411.4,388.8,464.1,460.6,409.9,370.2,388.4,436.8,415.5,360.3,357.9,350.9,310.3,294.2,303.6,372.0,406.7,400.9,405.7,482.7,584.1,517.6,479.5,499.3,466.3,471.9,462.7,372.3,374.8,388.2,421.5,412.6,471.2
Cyprus,331.1,326.2,536.7,534.3,787.1,327.7,356.5,349.4,513.0,599.4,532.3,313.1,298.1,341.2,248.2,290.3,335.0,370.6,370.8,380.9,419.6,429.2,429.2,426.5,365.2,336.5,310.5,282.4,252.4,304.4,378.7,335.1,346.9
Denmark,453.0,425.6,515.4,518.3,548.7,516.7,521.7,595.9,587.3,531.4,537.0,523.3,447.9,471.3,501.4,593.9,662.4,639.7,715.7,763.4,870.9,784.8,810.7,809.4,788.2,747.9,716.2,591.4,629.1,656.6,792.5,789.5,855.2
Finland,343.5,354.9,428.6,438.5,411.5,318.5,344.6,372.9,393.6,377.9,379.5,319.5,300.3,284.4,309.1,473.5,551.9,570.3,592.8,622.3,744.1,737.6,692.8,760.6,728.2,765.1,729.8,620.2,621.2,622.5,680.3,656.1,737.7
France,540.3,525.9,631.3,630.2,663.2,623.6,647.5,694.2,671.9,596.0,575.5,556.6,481.3,470.7,511.3,640.1,733.5,727.1,744.5,819.2,890.0,902.4,827.7,856.0,790.0,813.9,827.7,708.2,732.5,758.7,791.0,769.5,808.1
Germany,421.9,402.1,503.9,467.9,494.0,435.5,423.1,477.5,451.3,384.1,383.3,377.1,325.5,316.9,338.6,404.3,438.2,371.6,440.4,493.5,556.3,550.4,532.3,558.6,540.9,545.0,548.3,466.7,484.9,510.7,558.5,586.8,629.8
Greece,272.2,252.1,312.3,305.1,347.7,319.4,337.0,389.0,425.9,419.3,439.8,454.5,411.9,397.7,423.4,448.8,557.9,626.2,680.1,767.3,957.8,971.0,749.8,658.3,548.6,526.5,516.9,452.0,467.6,481.4,547.1,522.4,508.6
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,129.1,123.7,169.2,177.7,191.0,168.5,177.6,195.4,207.5,209.6,201.3,198.7,183.6,199.8,207.6,242.5,271.5,276.5,281.4,317.3,358.5,315.0,279.8,283.2,251.2,259.1,257.8,214.3,213.3,215.7,229.8,227.9,231.8
Italy,305.2,309.9,363.5,378.1,388.1,318.9,315.7,300.6,364.4,354.2,367.0,371.0,350.6,343.2,377.9,466.0,522.2,510.2,506.2,544.4,625.2,576.2,539.8,567.7,497.3,497.9,458.6,366.2,412.7,435.9,468.8,435.7,478.3
Luxembourg,229.9,201.1,253.3,278.9,314.8,272.4,313.1,348.5,341.8,319.2,336.1,326.4,293.9,364.1,345.7,444.1,519.4,532.4,530.8,602.3,487.7,449.0,539.8,494.8,447.4,476.7,503.2,487.3,450.1,604.3,650.8,696.4,782.0
Malta,62.9,59.4,58.4,59.6,72.6,66.4,74.6,82.6,87.6,81.2,75.1,71.6,64.4,68.4,71.2,85.1,100.6,129.7,109.4,120.8,136.8,143.6,141.8,133.8,118.4,126.2,131.4,119.5,136.8,146.7,152.2,189.9,182.6
Netherlands,455.4,430.4,495.9,481.0,521.2,462.1,464.4,517.9,503.0,436.9,434.2,443.7,375.0,387.1,417.6,515.8,575.7,584.5,621.5,695.5,746.9,729.7,672.6,695.9,617.2,607.1,611.7,511.7,536.8,562.9,651.5,701.9,734.1
Norway,688.2,693.9,799.3,770.0,886.1,735.6,783.9,803.3,805.1,735.9,747.6,739.6,649.5,655.7,894.4,988.5,1062.9,1054.5,1072.5,1244.9,1335.3,1283.6,1330.1,1461.6,1424.9,1455.2,1426.8,1118.4,1142.2,1294.0,1412.7,1398.1,1312.0
Portugal,136.2,147.3,189.5,213.3,254.5,219.3,216.4,264.6,256.6,234.8,228.7,234.7,214.1,224.8,250.6,298.2,355.2,384.4,385.7,413.0,454.2,466.8,445.3,464.0,393.0,451.1,394.6,343.9,400.3,357.3,416.7,418.3,455.0
Spain,228.0,237.8,298.3,297.2,310.8,254.0,254.5,287.5,283.0,246.4,257.0,274.7,251.7,247.4,245.0,302.4,352.4,363.4,385.7,441.7,482.5,433.2,420.0,418.3,400.8,367.4,367.2,325.4,300.5,343.9,381.7,367.8,372.8
Sweden,581.0,591.1,720.1,721.1,738.9,572.9,585.9,648.4,700.2,586.7,578.6,580.3,539.3,463.9,488.1,592.7,613.4,610.5,613.1,697.0,652.3,543.6,626.8,668.1,654.3,678.8,676.4,551.7,551.8,558.0,574.9,581.8,639.0
Switzerland,500.1,467.2,609.7,597.8,609.2,525.7,562.0,664.0,602.4,494.9,492.7,442.3,392.0,385.0,399.2,449.9,478.4,471.7,446.4,467.7,537.7,525.7,527.0,629.0,573.4,620.7,562.1,544.9,545.5,547.4,546.0,595.2,658.8
UK,675.2,657.4,762.2,821.2,793.7,661.7,667.7,661.0,663.6,684.1,704.5,694.2,667.7,668.3,745.8,878.8,1006.3,1022.7,1055.8,1195.1,1173.3,1018.8,1008.2,1039.8,1014.4,982.4,1024.0,910.9,804.4,773.8,829.3,841.9,872.6
Bahrain,445.9,453.3,482.7,516.5,533.9,520.8,517.8,537.9,556.1,540.9,537.4,572.4,540.2,533.8,604.2,662.6,641.0,577.3,599.1,620.3,645.9,698.9,679.2,808.6,909.4,1024.8,1104.2,1051.1,1055.9,1025.9,973.4,949.2,825.6
Egypt,83.4,64.2,40.3,23.4,24.1,25.5,28.1,31.3,33.3,34.9,35.8,36.3,38.2,40.4,40.6,32.7,31.9,35.2,38.4,42.3,47.5,49.5,53.3,52.8,52.7,49.3,56.2,59.2,47.8,28.7,31.7,37.3,44.0
Iran,355.9,297.4,292.3,304.3,335.7,24.2,28.1,40.7,57.0,73.5,85.7,102.6,126.9,156.2,48.2,54.6,76.0,97.4,124.0,130.8,153.7,172.6,183.9,191.3,218.3,156.9,127.8,134.9,154.1,172.7,137.3,151.1,188.4
Iraq,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,23.3,41.6,45.0,71.3,109.8,111.7,126.2,139.3,129.9,234.6,201.2,270.0,163.1,197.5,164.4,193.3,174.4
Israel,1650.1,1280.9,1467.7,2034.7,1538.7,1572.8,1522.3,1507.4,1566.9,1541.5,1420.5,1313.8,1400.5,1403.2,1293.7,1310.1,1345.3,1366.4,1394.4,1662.3,1966.1,1773.9,1888.7,2025.2,1917.4,2110.6,2267.6,2070.2,2156.6,2357.4,2357.5,2406.8,2507.6
Jordan,180.5,112.6,90.4,115.2,92.5,93.1,92.5,65.3,88.2,91.6,100.4,101.8,103.3,101.4,98.1,112.6,105.1,104.7,117.1,165.1,207.2,227.5,214.5,208.1,182.1,169.6,173.7,174.3,185.2,198.2,196.5,201.2,203.6
Kuwait,837.5,992.2,4276.9,6362.6,3302.6,1681.2,1986.4,2299.3,1992.4,1435.0,1246.3,1171.5,1318.8,1276.9,1320.3,1448.3,1567.9,1545.9,1515.7,1643.6,1668.0,1492.0,1449.0,1702.5,1774.2,1615.8,1580.1,1495.2,1629.3,1667.8,1731.9,1752.6,1625.3
Lebanon,14.6,. .,76.5,78.5,143.9,139.5,187.3,211.5,203.7,185.4,187.9,221.4,242.0,240.2,217.0,210.4,208.9,204.8,212.0,241.7,245.4,296.3,320.1,312.7,317.3,327.4,362.6,342.8,388.2,358.0,404.6,367.8,281.5
Oman,684.6,672.8,799.0,662.6,765.0,694.9,707.5,686.8,642.6,658.8,585.4,594.5,695.4,793.0,800.2,825.3,912.2,1090.7,1171.2,1221.1,1258.6,1170.8,1207.1,1538.2,2644.5,2328.5,2039.5,1765.4,1771.7,1457.9,1566.5,1316.8,1317.8
Qatar,2214.9,1837.7,1660.4,1837.7,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,1187.4,1150.8,1025.3,1025.5,1042.1,1282.2,1613.1,1177.3,1011.0,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Saudi Arabia,886.2,813.8,1007.5,975.1,888.8,926.1,784.0,708.2,700.9,934.0,1054.5,907.2,966.1,991.7,848.5,834.8,903.9,1066.2,1207.5,1408.4,1476.4,1549.6,1650.0,1716.8,1937.9,2230.1,2612.3,2748.8,1962.6,2126.8,2209.8,1807.8,1652.2
Syria,317.7,122.8,131.9,225.8,225.7,105.1,117.3,66.8,67.4,69.0,70.3,70.4,54.7,61.0,64.6,82.5,77.9,79.0,75.3,80.4,83.8,102.9,109.8,118.3,. .,. .,. .,. .,. .,. .,. .,. .,. .
Turkey,51.2,63.7,98.6,103.4,110.5,124.9,92.0,113.0,126.4,129.1,143.2,159.8,158.0,112.4,138.9,155.5,163.0,177.9,189.6,215.4,238.7,225.0,244.0,231.6,237.0,242.7,227.6,199.5,223.3,219.7,238.6,247.0,210.2
UAE,. .,. .,. .,. .,. .,. .,. .,. .,. .,1248.7,1425.5,1427.2,1874.8,1755.5,1539.1,1571.9,1675.5,1439.4,1351.9,1371.6,1632.2,1747.6,2047.3,2144.0,2081.0,2561.6,2469.6,. .,. .,. .,. .,. .,. .
Yemen,xxx,xxx,68.9,83.6,100.9,112.6,164.6,54.0,26.9,24.9,23.4,23.4,27.2,30.1,40.0,42.5,37.6,40.6,39.7,49.4,54.7,63.1,62.5,67.7,66.1,65.6,66.4,. .,. .,. .,. .,. .,. .
"Yemen, North",..,..,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
